Alpha 3 code ,Common English Name,Official Country Name
UGA,Uganda,Republic of Uganda
UKR,Ukraine,Ukraine
ARE,United Arab Emirates,United Arab Emirates
GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland
USA,United States,United States of America
URY,Uruguay,Oriental Republic of Uruguay
UZB,Uzbekistan,Republic of Uzbekistan
VUT,Vanuatu,Republic of Vanuatu
VAT,Vatican City,Vatican City State
VEN,Venezuela,Bolivarian Republic of Venezuela
VNM,Vietnam,Socialist Republic of Vietnam
YEM,Yemen,Republic of Yemen
ZMB,Zambia,Republic of Zambia
ZWE,Zimbabwe,Republic of Zimbabwe
